Year,Articles,Cross-lists,Total
2023,36613,7115,43728
2022,38258,7055,45313
2021,38160,7015,45175
2020,39092,7004,46096
2019,37294,5712,43006
2018,35902,4284,40186
2017,34364,4060,38424
2016,32553,3824,36377
2015,31185,3687,34872
2014,28643,3429,32072
2013,26785,3394,30179
2012,24176,3233,27409
2011,21287,2933,24220
2010,18765,2466,21231
2009,16319,1289,17608
2008,14373,1210,15583
2007,13110,1096,14206
2006,10907,1051,11958
2005,8902,1088,9990
2004,7328,1015,8343
2003,5866,780,6646
2002,4654,981,5635
2001,3463,897,4360
2000,3093,987,4080
1999,2524,813,3337
1998,2135,562,2697
1997,423,1425,1848
1996,325,1096,1421
1995,330,863,1193
1994,317,635,952
1993,221,379,600
1992,277,159,436
