Year,Articles,Cross-lists,Total
2023,14596,4064,18660
2022,15514,4188,19702
2021,16150,4319,20469
2020,16212,4692,20904
2019,15228,4285,19513
2018,14752,3559,18311
2017,14392,3151,17543
2016,14615,2977,17592
2015,13930,2839,16769
2014,13108,2664,15772
2013,12746,2636,15382
2012,12184,2627,14811
2011,11735,2240,13975
2010,11189,1903,13092
2009,10304,1115,11419
2008,10281,1066,11347
2007,9415,992,10407
2006,9243,986,10229
2005,9234,1024,10258
2004,8953,876,9829
2003,8367,737,9104
2002,7762,629,8391
2001,7024,604,7628
2000,6023,562,6585
1999,5488,519,6007
1998,4636,481,5117
1997,3534,343,3877
1996,2545,411,2956
1995,1823,377,2200
1994,1323,218,1541
1993,687,142,829
1992,219,64,283
