Year,Articles,Cross-lists,Total
2023,3431,2351,5782
2022,3502,2596,6098
2021,3522,2483,6005
2020,3358,2447,5805
2019,3045,2236,5281
2018,2852,1955,4807
2017,2659,1932,4591
2016,2598,1921,4519
2015,2772,1891,4663
2014,2445,1924,4369
2013,2266,1903,4169
2012,2065,2022,4087
2011,2119,1993,4112
2010,2054,1861,3915
2009,1989,1396,3385
2008,1877,1170,3047
2007,1921,1152,3073
2006,1742,1105,2847
2005,1662,1021,2683
2004,1554,1026,2580
2003,1420,947,2367
2002,1312,893,2205
2001,1285,770,2055
2000,1252,715,1967
1999,1247,641,1888
1998,1139,569,1708
1997,1019,394,1413
1996,836,379,1215
1995,738,357,1095
1994,682,299,981
1993,421,178,599
1992,101,63,164
