Year,Articles,Cross-lists,Total
2023,834,1690,2524
2022,993,2304,3297
2021,809,2083,2892
2020,633,2119,2752
2019,813,1847,2660
2018,827,1731,2558
2017,876,1639,2515
2016,780,1795,2575
2015,851,1820,2671
2014,923,1524,2447
2013,945,1575,2520
2012,1098,1638,2736
2011,1112,1546,2658
2010,698,1115,1813
2009,865,649,1514
2008,919,523,1442
2007,863,412,1275
2006,848,387,1235
2005,854,412,1266
2004,885,449,1334
2003,771,404,1175
2002,798,413,1211
2001,817,386,1203
2000,736,343,1079
1999,667,269,936
1998,407,231,638
1997,325,165,490
1996,166,109,275
1995,158,44,202
1994,67,29,96
