Year,Articles,Cross-lists,Total
2023,4287,2061,6348
2022,5168,2488,7656
2021,4977,2326,7303
2020,4597,2341,6938
2019,4576,2294,6870
2018,4586,2110,6696
2017,4505,2028,6533
2016,4755,2065,6820
2015,4938,2035,6973
2014,4625,2121,6746
2013,4625,2171,6796
2012,4598,1984,6582
2011,4630,2091,6721
2010,4214,1943,6157
2009,4217,1392,5609
2008,4158,1245,5403
2007,4013,1352,5365
2006,3949,1295,5244
2005,3915,1249,5164
2004,4136,1218,5354
2003,3963,1217,5180
2002,4243,1200,5443
2001,4223,1133,5356
2000,4124,1080,5204
1999,4075,968,5043
1998,3806,913,4719
1997,3615,643,4258
1996,3314,623,3937
1995,2992,450,3442
1994,2502,396,2898
1993,1762,232,1994
1992,755,100,855
