Year,Articles,Cross-lists,Total
2023,3253,3027,6280
2022,3891,3268,7159
2021,3768,3349,7117
2020,3859,3355,7214
2019,3824,3016,6840
2018,3669,2802,6471
2017,3559,2674,6233
2016,3601,2633,6234
2015,3714,2625,6339
2014,3616,2568,6184
2013,3363,2476,5839
2012,3348,2425,5773
2011,3331,2396,5727
2010,3371,2492,5863
2009,3384,1874,5258
2008,3334,1702,5036
2007,3438,1646,5084
2006,3295,1520,4815
2005,3239,1451,4690
2004,3357,1374,4731
2003,3276,1367,4643
2002,3334,1350,4684
2001,3182,1235,4417
2000,3145,1118,4263
1999,2826,1073,3899
1998,2774,1118,3892
1997,2686,965,3651
1996,2626,799,3425
1995,2346,748,3094
1994,2441,537,2978
1993,2091,327,2418
1992,1384,135,1519
1991,302,0,302
