Year,Articles,Cross-lists,Total
2023,634,1108,1742
2022,743,1143,1886
2021,790,1240,2030
2020,884,1249,2133
2019,824,1217,2041
2018,755,946,1701
2017,870,964,1834
2016,810,861,1671
2015,793,905,1698
2014,835,899,1734
2013,890,924,1814
2012,837,892,1729
2011,767,797,1564
2010,736,699,1435
2009,720,416,1136
2008,763,376,1139
2007,728,394,1122
2006,835,425,1260
2005,766,412,1178
2004,760,364,1124
2003,715,375,1090
2002,735,397,1132
2001,676,405,1081
2000,670,388,1058
1999,4,1173,1177
1998,2,1092,1094
1997,0,901,901
1996,0,656,656
1995,0,548,548
1994,0,372,372
1993,0,294,294
