Year,Articles,Cross-lists,Total
2023,392,760,1152
2022,505,862,1367
2021,426,890,1316
2020,511,919,1430
2019,472,875,1347
2018,505,831,1336
2017,440,781,1221
2016,449,833,1282
2015,505,843,1348
2014,486,821,1307
2013,531,782,1313
2012,572,812,1384
2011,561,700,1261
2010,434,502,936
2009,569,307,876
2008,546,242,788
2007,557,253,810
2006,441,232,673
2005,460,264,724
2004,474,226,700
2003,323,238,561
2002,295,208,503
2001,245,171,416
2000,174,154,328
1999,174,126,300
1998,110,74,184
1997,69,56,125
1996,57,30,87
1995,24,22,46
1994,4,3,7
