Year,Articles,Cross-lists,Total
2023,7643,2931,10574
2022,7808,3069,10877
2021,7299,2991,10290
2020,6307,3002,9309
2019,5558,2733,8291
2018,5204,2276,7480
2017,4998,2026,7024
2016,4740,1991,6731
2015,4557,1944,6501
2014,4356,1877,6233
2013,4049,1901,5950
2012,3769,2200,5969
2011,3592,1845,5437
2010,3371,1485,4856
2009,3311,756,4067
2008,3064,593,3657
2007,3034,587,3621
2006,2959,546,3505
2005,2859,533,3392
2004,2605,525,3130
2003,2438,467,2905
2002,2175,372,2547
2001,1910,358,2268
2000,1516,333,1849
1999,1275,307,1582
1998,1021,235,1256
1997,689,168,857
1996,465,141,606
1995,332,101,433
1994,12,26,38
